ejection_fraction,hazard_ratio,lower_95,upper_95,reference_ejection_fraction
48.10738255033557,1.0214789795206973,0.7728570091865186,1.3500806658930489,40
48.5503355704698,1.0218470521300151,0.7673766636165583,1.3607025694862045,40
48.99328859060403,1.0221378239768228,0.7620845527634429,1.3709315159526374,40
49.43624161073826,1.0223523198043643,0.7568991969339908,1.3809028600416358,40
49.87919463087248,1.022491582510752,0.7517382140299961,1.3907621254220615,40
50.322147651006716,1.022556672358474,0.7465189574533942,1.400663891713848,40
50.76510067114094,1.022548666188599,0.7411594027257098,1.4107704373428063,40
51.20805369127517,1.0224686566402792,0.7355792731430819,1.4212501520667804,40
51.6510067114094,1.0223177513761605,0.7297013729421565,1.432275754895225,40
52.09395973154363,1.0220970723142704,0.7234530722344107,1.4440223773006642,40
52.53691275167785,1.0218077548669393,0.7167678646335612,1.4566655948505638,40
