bootstrap,fit_succeeded,training_concordance,test_concordance,optimism,"Age, per 10-year increase",EF 20% versus EF 40%,EF 30% versus EF 40%,EF 50% versus EF 40%,EF 60% versus EF 40%,"Serum creatinine, per doubling","Serum sodium, per 5-mEq/L increase",Male versus female
23,TRUE,0.7796026750590086,0.740372611159128,0.039230063899880596,1.4254720482306809,10.629878865889188,2.1305876632476166,0.9058640527366258,1.1870358818676754,1.568699180241226,0.7858811364763254,0.8244517429633014
24,TRUE,0.7453556667391777,0.738403918179199,0.00695174855997871,1.733770839678804,4.170508805822984,1.454009943124028,0.9808718986689406,1.061884437975604,1.3611545461331744,0.9270914545026653,0.6959112310840123
25,TRUE,0.758357676079195,0.7386440026889465,0.019713673390248543,1.70614932605985,6.216272910893574,1.0825672180282462,1.124701797868152,0.77713185039086,1.5443736561002517,1.0687950827072785,0.6986274139673385
26,TRUE,0.6987702949370737,0.740372611159128,-0.04160231622205435,1.4831532006951347,3.063671610717209,1.2623176892279744,0.9156544605522863,0.8303695745707329,2.1025396374653575,1.0266159012443894,0.8765961356138341
27,TRUE,0.7886419296705327,0.7431095745702487,0.04553235510028397,1.819686413350938,5.88607895641946,1.3406897573228047,1.0947464059685457,1.0842698337142946,1.5634297450266572,0.9882373405745098,0.7757899408889514
28,TRUE,0.7015421317202011,0.7404206280610774,-0.03887849634087637,1.4123206264512158,2.9874062733021614,1.2821553054895516,0.8514406884225961,0.6896550608902716,1.7307142008978147,0.7986285287655897,0.8541178908316788
29,TRUE,0.7609009260551911,0.742341304139057,0.01855962191613414,1.6175149995784295,3.8663652532454624,1.0981331090033495,0.9724012300993384,0.598467635325695,2.0755004768099745,0.9589829416856792,0.7227267094317317
30,TRUE,0.7435370303746723,0.7428214731585518,7.155572161204882e-4,1.5320236901273379,5.521764659438577,1.5763189460100282,0.912742052199337,0.8795776127912412,1.5565802380821279,0.9747293498279239,0.5718608736100532
31,TRUE,0.7365947075208914,0.738788053394795,-0.0021933458739036293,1.5848700924365473,2.787263855078713,1.2605986506842073,0.9965624670458791,0.9950999897552206,1.8333694636748832,0.7551802888594182,0.9997930424276874
32,TRUE,0.7313556972553368,0.7382118505714012,-0.006856153316064373,1.5844541684411866,3.394309996431955,1.3754315416889331,1.0466063440419726,1.323309077782947,1.3639824764199249,0.7442373868867684,0.7153468143980777
33,TRUE,0.7553475935828877,0.7480072985690963,0.007340295013791409,1.4152202994995209,4.145468465300745,1.1929426227142441,1.012179143855174,0.7946848356594618,1.6312525623478351,0.8745705980378831,0.7933039896473337
34,TRUE,0.7711681563999824,0.7466628253145107,0.024505331085471704,1.5788079079275863,3.8658180977612453,1.3359085632067451,1.090273457529185,1.2878519704869533,1.6456937119506105,0.8763403955143948,0.9325205923126645
35,TRUE,0.7195216799533346,0.7312493997887256,-0.011727719835391004,1.5482481397711099,7.361876005042479,1.9501474137353694,0.9094626159347656,1.1785673364830087,1.2005671733037342,0.9596644268850107,0.8464874600821447
36,TRUE,0.7400716845878136,0.7395083069240372,5.633776637763432e-4,1.4197663195164756,5.154138500141191,1.9254186623596306,0.7443947866971162,0.7218811263954981,1.6215972543016621,0.8377569845077965,0.7405262197092588
37,TRUE,0.7589814926817466,0.7393642562181888,0.01961723646355784,1.4468859720724467,8.486400703385984,2.5872614196420916,0.7623867169366589,1.1416436568278132,1.8557957135640164,0.8750240591306725,0.7721550256437449
38,TRUE,0.7866397668684151,0.7409007970805723,0.045738969787842754,1.2686571298555183,4.3999615545994555,1.289438229988048,1.029420768439839,0.9411934470465184,1.9658323691716644,0.7089398458588483,1.0386168574283525
39,TRUE,0.739866522720581,0.7237107461826563,0.01615577653792466,1.7196956109759143,6.889164791678714,1.3695277911038009,1.234081203474906,1.5369779644749257,1.1930859222894292,1.0124510118942227,1.233336092854915
40,TRUE,0.7511995201919233,0.7459425717852683,0.0052569484066549155,1.5887373460356577,4.7070456716970845,1.7405675936922402,0.8622980490632437,0.9709252458525777,1.984164502161855,0.8548432844197078,0.778172540365411
41,TRUE,0.7893958304442288,0.7380677998655527,0.051328030578676076,1.6728042962953436,3.394245802295529,0.9883713351539972,1.0704990547240154,0.685323964777832,2.4393828837065352,0.9688278546844145,0.6507496647513563
42,TRUE,0.7542758279782501,0.7415250168059156,0.012750811172334453,1.6967431315742443,7.577309399161912,1.6570282736403772,1.0725988045970218,1.5673527804369654,1.4119738016497914,0.8083378397794619,0.6863565469173499
43,TRUE,0.7604870842100551,0.7424853548449054,0.018001729365149655,1.3626329212774009,4.815457809015793,1.5309735932746136,0.9112540739002489,0.9664786978213944,1.904079817267311,1.022475358142832,1.1910527143955605
